선수명,level,season,IP_mlbstatsapi,IP_fangraphs,my_fip,fangraphs_fip,diff,cFIP_used
션 오설리반,MLB,2014,12.667,12.667,5.58,5.58,0.0,3.1323
션 오설리반,MLB,2015,71.0,71.0,6.176,6.176,0.0,3.1336
션 오설리반,MLB,2016,21.333,21.333,4.881,4.881,0.0,3.1466
션 오설리반,AAA,2009,69.0,69.0,4.401,4.776,-0.375,3.0971
션 오설리반,AAA,2010,85.0,85.0,4.137,4.641,-0.505,3.0778
션 오설리반,AAA,2011,74.667,74.667,3.4,4.158,-0.758,3.0254
션 오설리반,AAA,2013,115.0,115.0,3.057,3.578,-0.522,3.0479
션 오설리반,AAA,2014,148.667,148.667,4.424,4.649,-0.225,3.1323
션 오설리반,AAA,2015,56.333,56.333,3.435,3.459,-0.023,3.1336
션 오설리반,AAA,2016,105.333,105.333,3.393,3.416,-0.023,3.1466
제이크 브리검,MLB,2015,16.667,16.667,4.094,4.094,0.0,3.1336
제이크 브리검,AAA,2013,113.667,113.667,3.901,4.423,-0.522,3.0479
제이크 브리검,AAA,2014,92.333,92.333,4.508,4.733,-0.225,3.1323
제이크 브리검,AAA,2015,26.0,26.0,3.018,3.042,-0.023,3.1336
세스 프랭코프,MLB,2017,2.0,2.0,7.658,7.658,-0.0,3.1576
세스 프랭코프,AAA,2014,30.667,30.667,4.045,4.613,-0.568,3.1323
세스 프랭코프,AAA,2015,10.667,10.667,7.071,7.537,-0.466,3.1336
세스 프랭코프,AAA,2016,7.333,7.333,4.647,5.221,-0.574,3.1466
세스 프랭코프,AAA,2017,116.667,116.667,4.538,5.101,-0.563,3.1576
